mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0022806167602539063,0.000204313988999046,0.0011857032775878906,7.730211290301578e-05,0.1,1.0,rbf,"{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}",1.0,0.9047619047619048,0.9047619047619048,1.0,0.9047619047619048,0.9428571428571428,0.046656947481584346,19
0.001684093475341797,0.00014938788400393707,0.001000356674194336,1.20776366787485e-05,0.1,1.0,linear,"{'C': 0.1, 'gamma': 1, 'kernel': 'linear'}",1.0,0.9047619047619048,0.9047619047619048,1.0,0.9047619047619048,0.9428571428571428,0.046656947481584346,19
0.0019410610198974609,4.370638513903606e-05,0.0010985374450683595,1.901295115546708e-05,0.1,0.1,rbf,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",1.0,0.8571428571428571,0.8095238095238095,1.0,0.8571428571428571,0.9047619047619048,0.07968190728895957,29
0.0016414642333984375,8.0321715457751e-05,0.0010015487670898438,9.044081269202986e-06,0.1,0.1,linear,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'linear'}",1.0,0.9047619047619048,0.9047619047619048,1.0,0.9047619047619048,0.9428571428571428,0.046656947481584346,19
0.002326631546020508,0.00028664797560576074,0.0013316154479980468,0.0002316773777352139,0.1,0.01,rbf,"{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}",0.5238095238095238,0.6190476190476191,0.3333333333333333,0.3333333333333333,0.5238095238095238,0.4666666666666666,0.11428571428571431,31
0.0016903877258300781,7.586432731960926e-05,0.0010118484497070312,1.6596399321296514e-05,0.1,0.01,linear,"{'C': 0.1, 'gamma': 0.01, 'kernel': 'linear'}",1.0,0.9047619047619048,0.9047619047619048,1.0,0.9047619047619048,0.9428571428571428,0.046656947481584346,19
0.002074575424194336,3.0755294377787574e-05,0.001123952865600586,4.197992664601591e-05,0.1,0.001,rbf,"{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5238095238095238,0.37142857142857144,0.07619047619047621,32
0.0016315460205078125,1.780870285717738e-05,0.001001882553100586,1.8700529612251858e-05,0.1,0.001,linear,"{'C': 0.1, 'gamma': 0.001, 'kernel': 'linear'}",1.0,0.9047619047619048,0.9047619047619048,1.0,0.9047619047619048,0.9428571428571428,0.046656947481584346,19
0.0018236160278320313,4.453960261482566e-05,0.0010568618774414063,3.1908352180059726e-05,1.0,1.0,rbf,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",0.9523809523809523,0.9047619047619048,0.9047619047619048,1.0,0.9523809523809523,0.9428571428571428,0.03563483225498991,19
0.0018495082855224609,0.00011801894022877021,0.001061248779296875,3.2653215327176676e-05,1.0,1.0,linear,"{'C': 1, 'gamma': 1, 'kernel': 'linear'}",1.0,0.9523809523809523,0.9047619047619048,1.0,0.9523809523809523,0.9619047619047618,0.03563483225498992,2
0.0017248153686523437,5.560125736513906e-05,0.001056528091430664,2.356299393366239e-05,1.0,0.1,rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",1.0,0.9047619047619048,0.9047619047619048,1.0,0.9523809523809523,0.9523809523809523,0.04259177099999599,6
0.0015994071960449218,4.054619005501907e-05,0.0009976863861083985,2.5922843262756782e-05,1.0,0.1,linear,"{'C': 1, 'gamma': 0.1, 'kernel': 'linear'}",1.0,0.9523809523809523,0.9047619047619048,1.0,0.9523809523809523,0.9619047619047618,0.03563483225498992,2
0.0019383430480957031,0.00011473369896047746,0.001127004623413086,1.953578035890722e-05,1.0,0.01,rbf,"{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}",1.0,0.9047619047619048,0.9047619047619048,1.0,0.8571428571428571,0.9333333333333332,0.05714285714285716,26
0.0016963958740234375,4.453015740470096e-05,0.0010378837585449218,2.0118572876909413e-05,1.0,0.01,linear,"{'C': 1, 'gamma': 0.01, 'kernel': 'linear'}",1.0,0.9523809523809523,0.9047619047619048,1.0,0.9523809523809523,0.9619047619047618,0.03563483225498992,2
0.002191925048828125,7.488417489968612e-05,0.001162576675415039,6.970788460050114e-05,1.0,0.001,rbf,"{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}",0.6190476190476191,0.6190476190476191,0.3333333333333333,0.3333333333333333,0.5238095238095238,0.48571428571428565,0.12918723777381463,30
0.0015927791595458985,3.342849544556013e-05,0.0009788990020751954,8.868914774809357e-06,1.0,0.001,linear,"{'C': 1, 'gamma': 0.001, 'kernel': 'linear'}",1.0,0.9523809523809523,0.9047619047619048,1.0,0.9523809523809523,0.9619047619047618,0.03563483225498992,2
0.0017960071563720703,7.4132460740642615e-06,0.0010251522064208985,1.2074812447455162e-05,10.0,1.0,rbf,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",0.9523809523809523,0.9047619047619048,0.9047619047619048,1.0,0.9523809523809523,0.9428571428571428,0.03563483225498991,19
