Filter_Number,Min_Value,Max_Value,Mean_Value,Std_Value
1,-0.4850302,0.55037946,0.0004329626,0.32401246
2,-0.18760149,0.20229845,0.008228845,0.13451602
3,-0.14913309,0.24075055,0.016741894,0.11248751
4,-0.515417,0.43703237,-0.00035178108,0.29637223
5,-0.33689022,0.25096548,0.0031995655,0.19602618
6,-0.23609307,0.2676666,-0.010216375,0.1871726
7,-0.21190998,0.22895685,0.0001450664,0.13941555
8,-0.28242558,0.26339853,-0.008111214,0.16901469
9,-0.33554825,0.21990669,-0.0013168895,0.21032098
10,-0.27969706,0.24260002,0.00063695124,0.14255506
11,-0.5010919,0.6085159,0.0005422157,0.35488713
12,-0.27611634,0.29481015,-0.0057131597,0.15416409
